                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93689,                 1.4502,                0.90481,                 1.0857,                0.67315,                0.77781,                0.77087,                0.51879,                0.64834,                0.75511,                0.72992,                 0.4676,                0.92601,                 1.3903,                0.97844,                 1.0437,             0.00046661,             0.00046661,             0.00046661
                      2,                0.87523,                 1.3181,                 0.8048,                 1.0407,                0.64966,                0.76464,                0.74664,                0.50041,                0.62948,                0.74581,                0.70926,                0.42925,                0.94005,                 1.5743,                  1.012,                 1.0294,             0.00094108,             0.00094108,             0.00094108
                      3,                 0.8946,                 1.3458,                0.80405,                 1.0472,                0.62382,                0.67463,                0.69521,                0.44572,                 0.5769,                0.65153,                0.62813,                0.38613,                 1.0455,                 1.4997,                 1.1232,                 1.1512,              0.0014137,              0.0014137,              0.0014137
                      4,                0.89494,                 1.4021,                0.81392,                 1.0497,                0.67848,                0.79382,                0.76679,                0.51726,                0.67832,                0.77275,                0.75439,                 0.4584,                0.89969,                 1.5473,                 0.9428,                 1.0432,              0.0014205,              0.0014205,              0.0014205
                      5,                0.88164,                 1.3171,                0.78402,                 1.0436,                0.60281,                0.76118,                0.71826,                0.48714,                 0.6247,                0.67378,                0.69383,                0.44432,                0.91478,                 1.4785,                 1.0335,                 1.0801,              0.0014205,              0.0014205,              0.0014205
                      6,                0.85873,                 1.2871,                0.75835,                 1.0369,                0.62543,                0.80165,                0.74324,                0.49241,                0.59967,                 0.7623,                0.71563,                0.43946,                0.92472,                 1.5912,                0.94257,                 1.0524,              0.0014177,              0.0014177,              0.0014177
                      7,                 0.8465,                 1.2656,                 0.7387,                 1.0274,                0.64592,                0.75982,                0.73115,                0.49053,                0.61001,                0.70427,                0.67607,                0.43671,                0.85623,                  1.384,                0.96872,                 1.0443,              0.0014149,              0.0014149,              0.0014149
                      8,                0.84129,                 1.2571,                0.73698,                 1.0242,                0.73286,                0.67906,                0.74847,                0.52559,                0.71442,                0.67315,                0.73255,                0.47967,                0.82773,                 1.3095,                 1.0273,                  1.014,               0.001412,               0.001412,               0.001412
                      9,                0.82609,                 1.2385,                0.72468,                 1.0179,                0.67548,                0.80779,                0.77925,                0.51246,                0.61178,                0.75004,                0.70354,                0.44733,                0.86538,                 1.3945,                0.92497,                0.99118,              0.0014092,              0.0014092,              0.0014092
                     10,                0.78674,                 1.1846,                0.69409,                 1.0015,                0.67604,                0.76373,                0.74883,                0.50471,                 0.6642,                0.74915,                0.72792,                0.45784,                0.83863,                 1.3855,                0.96121,                 1.0343,              0.0014064,              0.0014064,              0.0014064
                     11,                0.80033,                 1.2059,                0.70595,                 1.0071,                0.70526,                0.77574,                0.78553,                0.55093,                0.78399,                0.65693,                 0.7561,                0.48752,                0.77818,                 1.3096,                0.94281,                0.99902,              0.0014035,              0.0014035,              0.0014035
                     12,                0.78428,                 1.1431,                0.69756,                0.99131,                0.64497,                0.78143,                0.78406,                0.53492,                0.60715,                  0.787,                0.74176,                  0.484,                0.82136,                 1.2324,                0.86482,                 1.0027,              0.0014007,              0.0014007,              0.0014007
                     13,                0.77014,                 1.1503,                0.66103,                0.99137,                0.66155,                0.80654,                0.78542,                0.54528,                 0.6369,                0.77713,                0.75444,                0.49371,                0.82976,                 1.2444,                0.82934,                  1.027,              0.0013979,              0.0013979,              0.0013979
                     14,                0.75655,                  1.112,                0.64249,                0.98627,                0.66437,                0.77166,                0.76512,                0.52153,                0.67041,                0.71914,                0.73973,                0.47942,                0.85512,                 1.2803,                0.92581,                 1.0483,               0.001395,               0.001395,               0.001395
                     15,                0.75783,                 1.1211,                0.66149,                0.97965,                 0.7126,                0.75873,                0.78531,                0.53097,                0.67818,                0.72593,                0.73441,                0.48119,                0.81074,                 1.3069,                0.86898,                0.99376,              0.0013922,              0.0013922,              0.0013922
                     16,                0.75127,                  1.111,                0.66202,                0.98278,                0.69432,                0.74954,                0.76309,                0.52067,                0.69844,                0.69156,                0.73013,                0.46459,                0.76626,                   1.34,                0.88276,                0.95111,              0.0013894,              0.0013894,              0.0013894
                     17,                0.74272,                 1.1214,                0.66341,                0.97824,                0.68243,                0.78503,                0.76591,                0.54192,                0.67404,                0.74692,                0.73989,                0.48194,                0.74676,                 1.3632,                0.81569,                0.96762,              0.0013866,              0.0013866,              0.0013866
                     18,                  0.725,                 1.0714,                0.63487,                0.97453,                0.69323,                0.79418,                0.77179,                0.54147,                0.69744,                0.72117,                0.74086,                0.46614,                0.75558,                 1.3515,                0.85034,                0.97148,              0.0013837,              0.0013837,              0.0013837
                     19,                0.72653,                  1.084,                0.63736,                0.96999,                0.69892,                0.79382,                0.77629,                 0.5497,                0.67812,                0.77624,                 0.7449,                0.48171,                0.77671,                 1.2419,                0.88725,                 1.0026,              0.0013809,              0.0013809,              0.0013809
                     20,                0.71695,                 1.0662,                0.63424,                0.96887,                0.74066,                0.79313,                0.81521,                0.58487,                0.77071,                0.67519,                 0.7691,                0.50977,                0.77453,                 1.2441,                0.77323,                0.99525,              0.0013781,              0.0013781,              0.0013781
                     21,                0.73223,                 1.0655,                0.63275,                0.97598,                0.70345,                0.77724,                 0.7828,                0.54384,                0.68277,                0.75631,                0.76899,                0.50271,                0.80596,                 1.3211,                0.81369,                0.97942,              0.0013752,              0.0013752,              0.0013752
                     22,                 0.7176,                 1.0758,                0.61751,                0.97322,                0.67905,                0.81414,                0.79317,                0.56343,                0.65532,                0.79135,                0.76593,                0.51159,                0.72896,                 1.2029,                0.81257,                0.96632,              0.0013724,              0.0013724,              0.0013724
                     23,                0.71695,                 1.0357,                0.61242,                0.96713,                0.70217,                0.78698,                 0.7864,                0.55029,                0.68382,                0.74132,                0.74836,                0.48399,                0.77839,                 1.3343,                0.86745,                0.98167,              0.0013696,              0.0013696,              0.0013696
                     24,                0.70221,                 1.0348,                0.60073,                0.95996,                0.68256,                0.79352,                0.78312,                0.54556,                0.67945,                 0.7838,                0.76305,                0.49216,                0.73475,                 1.2095,                0.87105,                0.96204,              0.0013668,              0.0013668,              0.0013668
                     25,                0.72232,                 1.0701,                 0.6052,                0.96845,                0.69071,                0.84093,                0.79341,                0.56341,                0.66375,                0.81058,                0.77287,                0.51219,                0.75057,                 1.2243,                0.81392,                0.97037,              0.0013639,              0.0013639,              0.0013639
                     26,                0.68879,                 1.0472,                0.60546,                0.96061,                0.69466,                0.80541,                0.78315,                0.55626,                 0.6619,                0.77221,                0.74046,                0.49035,                0.74491,                 1.2105,                0.88659,                0.96462,              0.0013611,              0.0013611,              0.0013611
                     27,                0.70044,                 1.0258,                0.59579,                0.96456,                0.65943,                0.78928,                 0.7538,                0.51584,                  0.642,                0.75549,                0.73398,                0.46924,                0.88172,                 1.3038,                0.88772,                 1.0841,              0.0013583,              0.0013583,              0.0013583
                     28,                0.69437,                 1.0493,                0.61457,                0.96013,                0.68683,                0.83868,                0.79786,                0.55679,                0.66855,                 0.8226,                0.78101,                0.50201,                0.79027,                 1.2669,                0.83303,                 1.0224,              0.0013554,              0.0013554,              0.0013554
                     29,                0.69442,                 1.0298,                0.59048,                0.95862,                0.72159,                0.77009,                0.78695,                 0.5595,                0.69158,                0.74523,                0.75646,                0.49762,                0.75537,                 1.2339,                 0.8538,                0.96885,              0.0013526,              0.0013526,              0.0013526
                     30,                0.67324,                0.99237,                0.58913,                0.95646,                0.71568,                0.80371,                0.79887,                 0.5591,                0.67496,                0.76255,                0.75054,                0.49129,                0.73191,                 1.2836,                0.92617,                0.97294,              0.0013498,              0.0013498,              0.0013498
                     31,                0.67658,                 1.0084,                0.57456,                0.95307,                0.68184,                0.78138,                0.77331,                0.53443,                0.67068,                0.77056,                0.75043,                0.48912,                 0.7842,                 1.2604,                0.92936,                  1.031,              0.0013469,              0.0013469,              0.0013469
                     32,                0.68385,                0.99352,                0.56867,                0.95145,                0.68654,                0.77988,                0.77211,                0.55373,                0.65499,                0.72606,                0.73039,                0.47757,                0.77557,                 1.1909,                0.87572,                0.99473,              0.0013441,              0.0013441,              0.0013441
                     33,                0.67197,                0.98988,                0.57969,                0.95261,                0.68716,                0.76425,                0.77313,                0.53744,                0.65887,                0.72943,                0.73049,                0.47033,                0.81599,                 1.3911,                0.93132,                 1.0422,              0.0013413,              0.0013413,              0.0013413
                     34,                0.67329,                 0.9994,                0.56959,                0.94704,                0.63314,                0.76796,                0.73892,                 0.5235,                0.61394,                0.73702,                0.70917,                0.47137,                0.78934,                 1.3588,                 0.8886,                 1.0397,              0.0013385,              0.0013385,              0.0013385
                     35,                0.65773,                0.97654,                0.55631,                0.94589,                0.69025,                0.77383,                0.78497,                0.54801,                0.66947,                0.72055,                0.73981,                0.47041,                0.82434,                 1.2895,                0.90119,                  1.057,              0.0013356,              0.0013356,              0.0013356
                     36,                0.66582,                0.97132,                0.56167,                0.94322,                0.71983,                0.74152,                0.78895,                0.55565,                0.70125,                0.74484,                0.76944,                0.49335,                0.81702,                 1.2685,                0.84938,                 1.0377,              0.0013328,              0.0013328,              0.0013328
                     37,                0.65546,                0.97684,                0.56568,                0.94836,                0.70989,                0.73293,                0.73943,                0.51506,                0.68213,                0.70617,                 0.7019,                0.44784,                0.81148,                 1.2688,                0.96926,                 1.0552,                0.00133,                0.00133,                0.00133
                     38,                0.65804,                0.97899,                   0.55,                0.94255,                0.67276,                 0.7949,                0.77556,                0.54823,                0.63962,                0.76914,                0.74707,                0.48359,                0.78471,                 1.2287,                0.92736,                 1.0062,              0.0013271,              0.0013271,              0.0013271
                     39,                0.64957,                0.96871,                0.54225,                0.94529,                0.71013,                0.82344,                0.80063,                0.57073,                0.67638,                0.78032,                0.75227,                0.49282,                0.75017,                 1.2444,                0.80938,                 1.0328,              0.0013243,              0.0013243,              0.0013243
                     40,                0.65948,                0.97415,                0.54325,                0.94075,                0.68876,                0.79969,                0.77458,                0.54428,                0.65141,                0.74559,                0.72413,                0.46717,                0.80983,                 1.3354,                0.89218,                 1.0525,              0.0013215,              0.0013215,              0.0013215
                     41,                0.65319,                0.94758,                 0.5315,                0.94178,                0.71534,                0.78866,                0.77914,                 0.5521,                0.68628,                0.75851,                0.74948,                0.49395,                0.85592,                 1.2535,                0.88269,                 1.1183,              0.0013187,              0.0013187,              0.0013187
                     42,                0.64248,                0.94661,                0.52069,                0.93943,                0.68962,                0.79128,                0.77269,                0.54383,                0.63767,                0.73601,                0.71518,                0.47973,                0.82224,                 1.2869,                0.94192,                 1.0955,              0.0013158,              0.0013158,              0.0013158
                     43,                0.63818,                0.92892,                0.50706,                0.93745,                0.72065,                 0.7558,                0.77103,                0.53509,                0.70128,                0.72957,                0.73602,                0.46908,                0.83007,                 1.3221,                0.90961,                 1.0979,               0.001313,               0.001313,               0.001313
                     44,                0.64969,                0.96074,                0.53992,                0.94106,                0.73634,                0.68572,                0.77031,                0.54863,                0.71283,                0.65348,                0.73222,                 0.4796,                0.77535,                 1.3704,                0.94129,                 1.0325,              0.0013102,              0.0013102,              0.0013102
                     45,                0.64865,                0.93896,                0.54101,                0.93961,                0.72417,                0.72623,                0.76594,                0.53761,                0.68809,                 0.6841,                0.71177,                0.47835,                0.85406,                 1.3216,                0.89955,                 1.1011,              0.0013073,              0.0013073,              0.0013073
                     46,                0.63456,                0.92441,                0.51653,                0.93111,                0.73454,                0.69806,                0.75219,                 0.5252,                0.71089,                0.67742,                0.71217,                0.46185,                 0.8031,                 1.3125,                0.96844,                 1.0354,              0.0013045,              0.0013045,              0.0013045
                     47,                0.64333,                0.94918,                0.52918,                0.93833,                0.75364,                0.74305,                0.79059,                0.56441,                0.70981,                0.72109,                0.74259,                 0.4789,                0.73532,                  1.308,                0.88052,                0.97305,              0.0013017,              0.0013017,              0.0013017
                     48,                0.64859,                0.94187,                0.54051,                0.93562,                0.67933,                 0.7816,                0.75454,                0.53289,                0.71612,                0.65866,                0.71212,                0.45521,                0.78215,                 1.2933,                0.95096,                 1.0393,              0.0012988,              0.0012988,              0.0012988
                     49,                 0.6452,                0.93358,                0.52284,                0.93275,                0.71955,                0.70621,                0.74964,                0.52059,                0.70657,                0.68068,                0.72055,                0.47159,                0.84705,                 1.4005,                0.93657,                 1.1277,               0.001296,               0.001296,               0.001296
                     50,                 0.6283,                0.92019,                0.50364,                0.93324,                0.70677,                0.72042,                0.73221,                0.50226,                 0.6852,                0.69886,                0.70227,                0.43746,                0.91455,                 1.5027,                0.97217,                 1.1515,              0.0012932,              0.0012932,              0.0012932
                     51,                0.61449,                0.91315,                0.50277,                0.92742,                0.70723,                0.77376,                 0.7671,                0.52602,                0.71527,                0.68928,                0.72131,                0.45328,                 0.8205,                 1.4892,                0.89729,                 1.0736,              0.0012904,              0.0012904,              0.0012904
                     52,                0.62627,                0.92489,                0.50685,                0.92807,                0.70661,                0.76019,                0.77772,                0.53768,                0.66613,                 0.7323,                0.72763,                0.48021,                0.83356,                 1.3974,                 0.8755,                 1.1106,              0.0012875,              0.0012875,              0.0012875
                     53,                0.62305,                0.90308,                0.49111,                0.92945,                0.74152,                0.73207,                0.76743,                0.54816,                0.70976,                0.70517,                0.72798,                0.47916,                 0.8192,                 1.4244,                0.86695,                 1.0725,              0.0012847,              0.0012847,              0.0012847
                     54,                0.62417,                0.91919,                0.50089,                0.92641,                0.73359,                0.74678,                0.77646,                0.55428,                0.70017,                0.71467,                0.73673,                0.49606,                 0.7929,                 1.5158,                0.91022,                 1.0645,              0.0012819,              0.0012819,              0.0012819
                     55,                0.61783,                0.90477,                0.49875,                0.92634,                 0.7223,                0.74686,                0.76721,                0.54733,                0.69295,                0.71989,                0.72554,                 0.4695,                0.73663,                 1.3165,                  0.853,                0.99223,               0.001279,               0.001279,               0.001279
                     56,                0.60383,                0.88527,                 0.4884,                0.91929,                 0.7299,                0.75701,                0.77525,                0.55172,                0.69912,                0.72005,                0.72794,                0.47343,                0.78394,                 1.3865,                0.89548,                 1.0369,              0.0012762,              0.0012762,              0.0012762
                     57,                0.62075,                0.88466,                0.48597,                0.92213,                0.72609,                0.76992,                0.77473,                0.55432,                0.71412,                0.72111,                0.74222,                0.48605,                0.83827,                 1.3987,                0.86545,                 1.0868,              0.0012734,              0.0012734,              0.0012734
                     58,                0.61467,                0.89175,                0.48684,                 0.9295,                0.74238,                0.72666,                0.77617,                0.54971,                0.70851,                0.69909,                0.73316,                0.48453,                0.87213,                 1.4205,                0.85778,                 1.1296,              0.0012706,              0.0012706,              0.0012706
                     59,                0.60161,                0.88972,                0.47544,                0.92064,                0.72975,                0.70127,                0.73535,                0.51198,                0.69964,                0.67295,                 0.7012,                0.45103,                 0.9029,                 1.5252,                0.97063,                 1.1825,              0.0012677,              0.0012677,              0.0012677
                     60,                0.60678,                0.88378,                0.46964,                0.91867,                0.75447,                0.75879,                0.78324,                 0.5481,                0.71975,                 0.7357,                0.73721,                0.47557,                0.81532,                 1.4128,                0.88262,                 1.0695,              0.0012649,              0.0012649,              0.0012649
                     61,                0.60605,                0.87419,                 0.4738,                0.92113,                0.74682,                0.79185,                0.79625,                0.56726,                0.73095,                0.77155,                0.76234,                0.49494,                0.82511,                 1.4446,                0.83221,                  1.054,              0.0012621,              0.0012621,              0.0012621
                     62,                0.59823,                0.86813,                0.46828,                0.91621,                0.76507,                0.75087,                0.78439,                0.56213,                0.72871,                0.72082,                0.73605,                0.48471,                0.80259,                 1.4733,                0.83987,                 1.0543,              0.0012592,              0.0012592,              0.0012592
                     63,                 0.6047,                0.87102,                0.46087,                0.91958,                0.75866,                0.70388,                0.73351,                0.50483,                0.71818,                 0.6661,                0.68455,                0.43493,                 0.9602,                 1.5753,                0.97648,                 1.2651,              0.0012564,              0.0012564,              0.0012564
                     64,                0.58519,                0.85877,                0.45962,                0.92351,                0.76445,                0.72922,                0.75584,                0.52496,                0.73301,                0.69885,                0.71659,                0.46411,                   0.86,                 1.3748,                0.88924,                 1.1333,              0.0012536,              0.0012536,              0.0012536
                     65,                0.61194,                0.92234,                0.46716,                0.92038,                0.73321,                0.69995,                 0.7432,                0.51515,                0.70959,                 0.6594,                0.70072,                0.44309,                0.78919,                  1.389,                 1.0076,                 1.0662,              0.0012507,              0.0012507,              0.0012507
                     66,                 0.6015,                0.86969,                0.45916,                0.91634,                0.73417,                0.76337,                0.78056,                0.57174,                0.71176,                0.74047,                0.74904,                0.50598,                0.77704,                 1.3507,                0.80378,                 1.0797,              0.0012479,              0.0012479,              0.0012479
                     67,                0.58377,                0.84033,                0.44601,                0.91018,                 0.7054,                0.77544,                0.78119,                0.55685,                0.66835,                0.73397,                0.72812,                0.48578,                 0.8514,                 1.4149,                0.88863,                 1.1281,              0.0012451,              0.0012451,              0.0012451
                     68,                0.59989,                0.87664,                0.44999,                0.91644,                 0.6923,                0.74453,                0.74431,                0.52508,                0.66257,                0.71976,                 0.7044,                0.45671,                0.87688,                 1.4468,                0.93763,                 1.1654,              0.0012423,              0.0012423,              0.0012423
                     69,                0.60656,                0.88065,                0.45921,                0.91997,                 0.7435,                0.68949,                0.74484,                0.52392,                 0.7034,                 0.6531,                0.69171,                0.44539,                0.91161,                 1.6082,                0.92464,                 1.2287,              0.0012394,              0.0012394,              0.0012394
                     70,                0.58999,                0.86501,                 0.4569,                0.91297,                0.74182,                0.77379,                0.80145,                0.58339,                0.70935,                 0.7289,                0.74884,                0.49774,                0.76928,                  1.447,                0.78502,                  1.055,              0.0012366,              0.0012366,              0.0012366
